200|Cách giải quyết khi công ty bị thua lỗ
201|Bảo hiểm khi có lạm phát
202|Bảo hiểm bên BIC và Metlife khác nhau
203|Tại sao phải đi khám sức khoẻ
204|Chỉ định người thụ hưởng
205|Bảo hiểm tử kỳ
206|Bổ trợ tai nạn tăng cường
220|Bảo hiểm
221|Doanh nghiệp bảo hiểm
222|Đại lý bảo hiểm
223|Công ty BIDV MetLife
1|Hoàn phí nếu hủy hợp đồng
2|Thay đổi hợp đồng bảo hiểm
3|Mua hợp đồng bảo hiểm cho cán bộ chủ chốt của công ty
4|Tình trạng sức khỏe thay đổi
5|Vợ/chồng hưởng quyền lợi bảo hiểm
6|Giải quyết quyền lợi bảo hiểm
7|Chậm trả phí bảo hiểm
8|Tăng Phí bảo hiểm hàng năm
9|Mất giấy tờ hợp đồng bảo hiểm
10|Ủy quyền xác minh thông tin
11|Phiếu yêu cầu giải quyết quyền lợi bảo hiểm
12|Điều chỉnh thông tin hợp đồng bảo hiểm 
13|Mức phí bảo hiểm
14|thương tật toàn bộ vĩnh viễn
15|Thương tật một phần vĩnh viễn
16|Tai nạn
17|Tai nạn giao thông công cộng